Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,1.0UF,
"C10, C11, C12, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C7, C8, C9",0603,17,10UF,
"C13, C14, C15",0603,3,0.1uF,
"C3, C4",0603,2,470PF,
C5,CP_EIA-7132-20_AVX-U,1,22UF,
C6,CP_EIA-7343-40_Kemet-Y,1,100UF,
"D1, D2","PMEG3020BEP,115",2,"PMEG3020BEP,115",
D3,0603,1,LTST-C190GKT,
D4,0603,1,LTST-C190KRKT,
D5,0603,1,LTST-C190KSKT,
D6,0603,1,LTST-C190TBKT,
"J0, J5, J6",PinHeader_1x01_P2.54mm_Vertical,3,Conn_01x01,
J1,PinHeader_1x02_P2.54mm_Horizontal,1,Conn_01x02,
J10,PinHeader_2x05_P2.54mm_Horizontal,1,Conn_02x05_Odd_Even,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J3,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07_Pin,
"J4, J7",PinHeader_1x10_P2.54mm_Vertical,2,Conn_01x10_Pin,
J8,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
J9,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x05_Pin,
L1,WE-TDC_8038,1,WE-TDC_8038,
R1,0603,1,10.0K,
"R10, R9",0603,2,1k,
R11,0603,1,10k,
R12,PHODET_PDV-P8103,1,PDV-P8103,
R2,0603,1,12K,
R3,0603,1,20K,
"R4, R5, R6, R7",0603,4,220,
R8,TRIM_3352T-1-103LF,1,3352T-1-103LF,
SW1,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPDT,
"SW2, SW3, SW4",SW_Push_1P1T_NO_CK_KSC9xxG,3,SW_DIP_x01,
"TPVIN1, TP_VPHOTO1, TP_VTHUMB1",TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,3,TestPoint,
U1,LT1935ES5-TRPBF,1,LT1935ES5-TRPBF,
U2,MSP430FR2355TPT,1,MSP430FR2355TPT,
