Designator,Mid X,Mid Y,Rotation,Layer
C1,140.69,-72.45,0.0,top
C10,153.6954,-72.036599,270.0,top
C11,128.7272,-67.2846,90.0,top
C12,126.22,-59.1775,270.0,top
C13,116.2975,-101.9,0.0,top
C14,115.7675,-112.23,0.0,top
C15,149.12,-89.79,90.0,top
C16,110.57,-64.66,270.0,top
C17,119.16,-114.74,180.0,top
C18,146.9,-109.997499,270.0,top
C19,118.1,-125.27,180.0,top
C2,145.7198,-59.9948,90.0,top
C20,162.67,-110.497499,270.0,top
C21,162.86,-89.79,90.0,top
C22,114.51,-108.56,0.0,top
C23,127.2175,-125.27,0.0,top
C24,129.6175,-80.79,0.0,top
C25,128.97,-104.64,180.0,top
C3,147.5994,-59.9948,90.0,top
C4,148.083099,-74.778699,180.0,top
C5,135.29,-57.21,0.0,top
C6,123.3424,-71.250101,270.0,top
C7,146.2267,-53.3908,180.0,top
C8,141.9352,-58.4962,270.0,top
C9,128.7018,-59.2582,270.0,top
D1,128.8796,-73.406,90.0,top
D2,146.09,-56.22,0.0,top
D3,133.11,-78.8825,90.0,top
D4,136.1,-78.8925,90.0,top
D5,139.11,-78.89,90.0,top
D6,142.12,-78.8925,90.0,top
FID1,111.76,-53.34,0.0,top
FID2,111.76,-127.0,0.0,top
FID3,154.94,-127.0,0.0,top
J0,162.433,-62.4586,0.0,top
J1,153.6192,-59.1312,90.0,top
J10,143.15,-121.65,270.0,top
J2,123.9012,-63.930701,270.0,top
J3,124.83,-88.2,180.0,top
J4,122.52,-120.44,90.0,top
J5,117.61,-53.48,0.0,top
J6,121.65,-53.48,0.0,top
J7,156.82,-105.48,180.0,top
J8,154.07,-78.99,270.0,top
J9,123.31,-106.22,0.0,top
L1,136.667006,-64.892994,135.0,top
R1,146.6107,-62.916899,0.0,top
R10,111.7975,-112.23,0.0,top
R11,109.95,-107.56,180.0,top
R12,106.119999,-112.22,180.0,top
R2,147.4743,-70.765499,180.0,top
R3,150.5458,-69.087199,270.0,top
R4,133.1,-82.74,90.0,top
R5,136.11,-82.7575,90.0,top
R6,139.11,-82.7575,90.0,top
R7,142.1,-82.7475,90.0,top
R8,107.35,-101.9,90.0,top
R9,112.3275,-101.9,0.0,top
SW1,161.58,-70.92,90.0,top
SW2,110.72,-90.78,180.0,top
SW3,110.71,-82.29,180.0,top
SW4,110.67,-73.52,180.0,top
TPVIN1,130.5052,-53.4416,0.0,top
TP_VPHOTO1,105.17,-117.79,0.0,top
TP_VTHUMB1,113.22,-97.38,0.0,top
U1,146.674799,-66.487499,90.0,top
U2,138.42,-96.81,0.0,top
